U+1F351	\xF0\x9F\x8D\x91
U+1F352	\xF0\x9F\x8D\x92
U+1F353	\xF0\x9F\x8D\x93
U+1F354	\xF0\x9F\x8D\x94
U+1F355	\xF0\x9F\x8D\x95
U+1F356	\xF0\x9F\x8D\x96
U+1F357	\xF0\x9F\x8D\x97
U+1F358	\xF0\x9F\x8D\x98
U+1F359	\xF0\x9F\x8D\x99
U+1F35A	\xF0\x9F\x8D\x9A
U+1F35B	\xF0\x9F\x8D\x9B
U+1F35C	\xF0\x9F\x8D\x9C
U+1F35D	\xF0\x9F\x8D\x9D
U+1F35E	\xF0\x9F\x8D\x9E
U+1F35F	\xF0\x9F\x8D\x9F
U+1F360	\xF0\x9F\x8D\xA0
U+1F361	\xF0\x9F\x8D\xA1
U+1F362	\xF0\x9F\x8D\xA2
U+1F363	\xF0\x9F\x8D\xA3
U+1F364	\xF0\x9F\x8D\xA4
U+1F365	\xF0\x9F\x8D\xA5
U+1F366	\xF0\x9F\x8D\xA6
U+1F367	\xF0\x9F\x8D\xA7
U+1F368	\xF0\x9F\x8D\xA8
U+1F369	\xF0\x9F\x8D\xA9
U+1F36A	\xF0\x9F\x8D\xAA
U+1F36B	\xF0\x9F\x8D\xAB
U+1F36C	\xF0\x9F\x8D\xAC
U+1F36D	\xF0\x9F\x8D\xAD
U+1F36E	\xF0\x9F\x8D\xAE
U+1F36F	\xF0\x9F\x8D\xAF
U+1F370	\xF0\x9F\x8D\xB0
U+1F371	\xF0\x9F\x8D\xB1
U+1F372	\xF0\x9F\x8D\xB2
U+1F373	\xF0\x9F\x8D\xB3
U+1F374	\xF0\x9F\x8D\xB4
U+1F375	\xF0\x9F\x8D\xB5
U+1F376	\xF0\x9F\x8D\xB6
U+1F377	\xF0\x9F\x8D\xB7
U+1F378	\xF0\x9F\x8D\xB8
U+1F379	\xF0\x9F\x8D\xB9
U+1F37A	\xF0\x9F\x8D\xBA
U+1F37B	\xF0\x9F\x8D\xBB
U+1F380	\xF0\x9F\x8E\x80
U+1F381	\xF0\x9F\x8E\x81
U+1F382	\xF0\x9F\x8E\x82
U+1F383	\xF0\x9F\x8E\x83
U+1F384	\xF0\x9F\x8E\x84
U+1F385	\xF0\x9F\x8E\x85
U+1F386	\xF0\x9F\x8E\x86
U+1F387	\xF0\x9F\x8E\x87
U+1F388	\xF0\x9F\x8E\x88
U+1F389	\xF0\x9F\x8E\x89
U+1F38A	\xF0\x9F\x8E\x8A
U+1F38B	\xF0\x9F\x8E\x8B
U+1F38C	\xF0\x9F\x8E\x8C
U+1F38D	\xF0\x9F\x8E\x8D
U+1F38E	\xF0\x9F\x8E\x8E
U+1F38F	\xF0\x9F\x8E\x8F
U+1F390	\xF0\x9F\x8E\x90
U+1F391	\xF0\x9F\x8E\x91
U+1F392	\xF0\x9F\x8E\x92
U+1F393	\xF0\x9F\x8E\x93
U+1F3A0	\xF0\x9F\x8E\xA0
U+1F3A1	\xF0\x9F\x8E\xA1
U+1F3A2	\xF0\x9F\x8E\xA2
U+1F3A3	\xF0\x9F\x8E\xA3
U+1F3A4	\xF0\x9F\x8E\xA4
U+1F3A5	\xF0\x9F\x8E\xA5
U+1F3A6	\xF0\x9F\x8E\xA6
U+1F3A7	\xF0\x9F\x8E\xA7
U+1F3A8	\xF0\x9F\x8E\xA8
U+1F3A9	\xF0\x9F\x8E\xA9
U+1F3AA	\xF0\x9F\x8E\xAA
U+1F3AB	\xF0\x9F\x8E\xAB
U+1F3AC	\xF0\x9F\x8E\xAC
U+1F3AD	\xF0\x9F\x8E\xAD
U+1F3AE	\xF0\x9F\x8E\xAE
U+1F3AF	\xF0\x9F\x8E\xAF
U+1F3B0	\xF0\x9F\x8E\xB0
U+1F3B1	\xF0\x9F\x8E\xB1
U+1F3B2	\xF0\x9F\x8E\xB2
U+1F3B3	\xF0\x9F\x8E\xB3
U+1F3B4	\xF0\x9F\x8E\xB4
U+1F3B5	\xF0\x9F\x8E\xB5
U+1F3B6	\xF0\x9F\x8E\xB6
U+1F3B7	\xF0\x9F\x8E\xB7
U+1F3B8	\xF0\x9F\x8E\xB8
U+1F3B9	\xF0\x9F\x8E\xB9
U+1F3BA	\xF0\x9F\x8E\xBA
U+1F3BB	\xF0\x9F\x8E\xBB
U+1F3BC	\xF0\x9F\x8E\xBC
U+1F3BD	\xF0\x9F\x8E\xBD
U+1F3BE	\xF0\x9F\x8E\xBE
U+1F3BF	\xF0\x9F\x8E\xBF
U+1F3C0	\xF0\x9F\x8F\x80
U+1F3C1	\xF0\x9F\x8F\x81
U+1F3C2	\xF0\x9F\x8F\x82
U+1F3C3	\xF0\x9F\x8F\x83
U+1F3C4	\xF0\x9F\x8F\x84
U+1F3C6	\xF0\x9F\x8F\x86
U+1F3C8	\xF0\x9F\x8F\x88
U+1F3CA	\xF0\x9F\x8F\x8A
U+1F3E0	\xF0\x9F\x8F\xA0
U+1F3E1	\xF0\x9F\x8F\xA1
U+1F3E2	\xF0\x9F\x8F\xA2
U+1F3E3	\xF0\x9F\x8F\xA3
U+1F3E5	\xF0\x9F\x8F\xA5
U+1F3E6	\xF0\x9F\x8F\xA6
U+1F3E7	\xF0\x9F\x8F\xA7
U+1F3E8	\xF0\x9F\x8F\xA8
U+1F3E9	\xF0\x9F\x8F\xA9
U+1F3EA	\xF0\x9F\x8F\xAA
U+1F3EB	\xF0\x9F\x8F\xAB
U+1F3EC	\xF0\x9F\x8F\xAC
U+1F3ED	\xF0\x9F\x8F\xAD
U+1F3EE	\xF0\x9F\x8F\xAE
U+1F3EF	\xF0\x9F\x8F\xAF
U+1F3F0	\xF0\x9F\x8F\xB0
U+1F40C	\xF0\x9F\x90\x8C
U+1F40D	\xF0\x9F\x90\x8D
U+1F40E	\xF0\x9F\x90\x8E
U+1F411	\xF0\x9F\x90\x91
U+1F412	\xF0\x9F\x90\x92
U+1F414	\xF0\x9F\x90\x94
U+1F417	\xF0\x9F\x90\x97
U+1F418	\xF0\x9F\x90\x98
U+1F419	\xF0\x9F\x90\x99
U+1F41A	\xF0\x9F\x90\x9A
U+1F41B	\xF0\x9F\x90\x9B
U+1F41C	\xF0\x9F\x90\x9C
U+1F41D	\xF0\x9F\x90\x9D
U+1F41E	\xF0\x9F\x90\x9E
U+1F41F	\xF0\x9F\x90\x9F
U+1F420	\xF0\x9F\x90\xA0
U+1F421	\xF0\x9F\x90\xA1
